Title,Genre,Is Series,Hidden Gem Score,Runtime,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,IMDb Votes,Minimum Age,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western
Im Home,"Action, Adventure, Fantasy, Sci-Fi",1,2.8,1.0,6.5,52.0,51.0,26.0,69.0,474544677.0,1611273600,733336.0,10,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Affliction,"Drama, Mystery, Thriller",0,4.0,3.0,7.0,88.0,79.0,8.0,19.0,6330054.0,1611187200,15218.0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Wish You,"Drama, Mystery",0,5.6,3.0,5.9,72.0,60.0,10.0,23.0,46347.0,1610668800,5228.0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Marlina the Murderer in Four Acts,"Drama, Thriller, Western",0,7.8,3.0,7.0,98.0,77.0,19.0,26.0,17788.0,1610582400,2545.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Lupin,"Animation, Adventure, Family, Fantasy",1,4.0,1.0,7.7,95.0,71.0,1.0,1.0,142425.0,1610150400,27154.0,13,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Infamous,"Biography, Crime, Drama",0,3.5,3.0,7.0,74.0,68.0,3.0,2.0,1151330.0,1610064000,16294.0,17,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Midnight Family,"Documentary, Action, Crime, Drama",0,8.5,3.0,7.4,97.0,81.0,23.0,26.0,42310.0,1609545600,1412.0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
My Girl,"Comedy, Drama, Family, Romance",1,3.0,1.0,6.9,53.0,56.0,2.0,5.0,59489799.0,1609459200,72575.0,10,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Waves,"Drama, Romance, Sport",0,4.0,5.0,7.6,84.0,80.0,14.0,39.0,1658790.0,1609459200,18134.0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
The Elephant Man,"Biography, Drama",0,4.2,5.0,8.1,92.0,78.0,10.0,22.0,26010864.0,1609459200,220688.0,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
