Title,Genre,Is Series,Hidden Gem Score,Runtime,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,IMDb Votes,Minimum Age,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western
Love for Sale,Drama,0,7.7,3.0,7.2,75.0,62.0,28.0,26.0,13703.0,1539129600,1605.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paprika,"Animation, Drama, Fantasy, Mystery, Sci-Fi, Thriller",1,4.0,1.0,7.7,84.0,81.0,6.0,5.0,882267.0,1538265600,71845.0,17,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0
Single White Female,"Drama, Thriller",0,3.0,3.0,6.4,53.0,63.0,1.0,1.0,48017402.0,1533081600,32388.0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Love In The Buff,"Comedy, Romance",0,7.9,3.0,6.8,89.0,65.0,2.0,6.0,256451.0,1533081600,1671.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Election 2,"Crime, Drama, Thriller",0,6.4,3.0,7.4,96.0,83.0,1.0,14.0,55758.0,1533081600,5731.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The House,"Comedy, Crime",0,1.8,3.0,5.6,20.0,30.0,1.0,0.0,25584504.0,1532822400,41041.0,17,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Nutty Professor II: The Klumps,"Comedy, Romance, Sci-Fi",0,1.8,3.0,4.4,26.0,38.0,2.0,15.0,123309890.0,1532563200,48311.0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Downsizing,"Drama, Fantasy, Sci-Fi",0,2.8,5.0,5.7,47.0,63.0,1.0,16.0,24449754.0,1532476800,99276.0,17,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Geostorm,"Action, Sci-Fi, Thriller",0,1.5,3.0,5.3,16.0,21.0,1.0,1.0,33700160.0,1532217600,95157.0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
I Feel Pretty,"Comedy, Romance",0,2.3,3.0,5.5,35.0,48.0,1.0,7.0,48795601.0,1532131200,49029.0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Devil Wears Prada,"Comedy, Drama",0,3.4,3.0,6.9,75.0,62.0,20.0,52.0,124740460.0,1532044800,372576.0,13,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Independence Day,"Action, Adventure, Sci-Fi",0,3.3,5.0,7.0,67.0,59.0,35.0,35.0,306169268.0,1532044800,528920.0,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Aliens,"Action, Adventure, Sci-Fi, Thriller",0,4.4,5.0,8.3,97.0,84.0,20.0,23.0,85160248.0,1532044800,654147.0,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Alien Resurrection,"Action, Horror, Sci-Fi",0,3.0,3.0,6.2,54.0,63.0,7.0,21.0,47795658.0,1532044800,229629.0,17,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Alien vs. Predator,"Action, Adventure, Horror, Sci-Fi, Thriller",0,1.7,3.0,5.6,20.0,29.0,2.0,4.0,80282231.0,1532044800,185073.0,13,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
Same Kind of Different as Me,"Biography, Drama",0,4.3,3.0,6.6,40.0,47.0,1.0,1.0,6423605.0,1531353600,6463.0,13,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daddys Home 2,Comedy,0,1.8,3.0,6.0,21.0,30.0,1.0,11.0,104029443.0,1531353600,62895.0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I, Tonya","Biography, Comedy, Drama, Sport",0,4.0,3.0,7.5,90.0,77.0,46.0,120.0,30014539.0,1530835200,183143.0,17,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
My Little Pony: The Movie,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Musical",0,4.4,3.0,6.1,46.0,39.0,4.0,6.0,21885107.0,1530748800,6018.0,10,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
The Frighteners,"Comedy, Fantasy, Horror",0,3.1,3.0,7.1,64.0,52.0,3.0,16.0,16759216.0,1530748800,82373.0,17,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Certain Women,Drama,0,4.0,3.0,6.3,92.0,82.0,12.0,47.0,1087585.0,1530403200,12142.0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dogtown and Z-Boys,"Documentary, Sport",0,4.1,3.0,7.7,92.0,76.0,7.0,6.0,1300682.0,1530403200,12308.0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Duck Butter,"Comedy, Drama, Romance",0,6.2,3.0,5.3,57.0,58.0,2.0,1.0,6877.0,1530403200,3223.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
True Lies,"Action, Comedy, Thriller",0,3.4,5.0,7.2,71.0,63.0,8.0,23.0,146282411.0,1530403200,238573.0,17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
It Takes Two,"Comedy, Family, Romance",0,1.9,3.0,5.9,8.0,45.0,1.0,3.0,19474589.0,1530403200,20870.0,10,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Ice Age,"Animation, Adventure, Comedy, Family, Fantasy",0,3.5,3.0,7.5,77.0,60.0,5.0,30.0,176387405.0,1530403200,443268.0,10,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Ice Age: Dawn of the Dinosaurs,"Animation, Adventure, Comedy, Family, Fantasy",0,2.7,3.0,6.9,46.0,50.0,3.0,13.0,196573705.0,1530403200,224642.0,10,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Loving Pablo,"Biography, Crime, Drama",0,2.3,5.0,6.3,31.0,42.0,1.0,5.0,22017.0,1530230400,18228.0,17,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
It,Horror,0,3.8,5.0,7.3,86.0,69.0,8.0,47.0,328828874.0,1529452800,460854.0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Passengers,"Drama, Romance, Sci-Fi, Thriller",0,2.3,3.0,7.0,30.0,41.0,1.0,12.0,100014699.0,1529107200,351103.0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Sweet Country,"Adventure, Crime, Drama, History, Thriller, Western",0,5.5,3.0,6.9,96.0,87.0,22.0,29.0,104297.0,1529020800,7450.0,17,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
Dunkirk,"Action, Drama, History, Thriller, War",0,4.4,3.0,7.8,92.0,94.0,64.0,228.0,189740665.0,1528934400,556842.0,13,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
An Officer and a Gentleman,"Drama, Romance",0,3.7,5.0,7.0,79.0,75.0,9.0,13.0,129795554.0,1528934400,49685.0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Billy Lynns Long Halftime Walk,"Action, Drama, Sport, Thriller, War",0,2.6,3.0,6.2,44.0,53.0,2.0,7.0,1738477.0,1528243200,21177.0,17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
The Lamb,"Animation, Adventure, Comedy, Family, Fantasy",0,4.0,3.0,6.3,42.0,42.0,1.0,6.0,40896334.0,1528070400,6971.0,10,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Lady Bird,"Comedy, Drama",0,4.5,3.0,7.4,99.0,94.0,116.0,224.0,48958273.0,1528070400,243256.0,17,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thelma,"Drama, Fantasy, Horror, Mystery, Romance, Sci-Fi, Thriller",0,4.0,3.0,7.0,93.0,74.0,15.0,46.0,147391.0,1527811200,26944.0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0
The Disaster Artist,"Biography, Comedy, Drama",0,4.0,3.0,7.4,91.0,76.0,31.0,79.0,21120616.0,1527811200,138382.0,17,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Police Story,"Action, Comedy, Crime, Thriller",0,4.1,3.0,7.6,93.0,78.0,2.0,5.0,113164.0,1527724800,29914.0,13,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mother!,"Drama, Horror, Mystery",0,3.5,5.0,6.6,68.0,75.0,9.0,41.0,17800004.0,1527465600,192493.0,17,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
New Jack City,"Action, Crime, Drama, Thriller",0,3.4,3.0,6.7,77.0,61.0,1.0,5.0,47624353.0,1527120000,31771.0,17,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Hero,"Drama, Romance, Western",0,4.3,3.0,6.5,78.0,61.0,2.0,6.0,4077333.0,1526947200,8137.0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Beatriz at Dinner,"Comedy, Drama",0,3.8,3.0,6.0,75.0,68.0,2.0,8.0,7115854.0,1526688000,9081.0,17,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Glass Castle,"Biography, Drama",0,3.0,5.0,7.2,52.0,56.0,1.0,2.0,17273059.0,1525910400,29992.0,13,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dean,"Comedy, Drama, Romance",0,7.0,3.0,6.3,64.0,58.0,2.0,1.0,254536.0,1525824000,2256.0,13,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"The Night Is Short, Walk On Girl","Animation, Adventure, Comedy, Family, Fantasy, Romance",0,6.9,3.0,7.6,90.0,65.0,2.0,5.0,406490.0,1525737600,3908.0,13,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Annabelle: Creation,"Horror, Mystery, Thriller",0,3.3,3.0,6.5,71.0,62.0,1.0,7.0,102092201.0,1525737600,113029.0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
Faces Places,Documentary,0,4.5,3.0,7.9,99.0,94.0,36.0,40.0,953717.0,1525478400,10898.0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brads Status,"Comedy, Drama, Music",0,3.6,3.0,6.5,79.0,71.0,1.0,2.0,2133158.0,1525219200,16078.0,17,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Crossroads,"Drama, Music, Mystery, Romance",0,3.3,3.0,7.1,75.0,55.0,1.0,0.0,5839031.0,1525132800,14426.0,17,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
Falling Down,"Crime, Drama, Thriller",0,3.4,3.0,7.6,73.0,56.0,1.0,2.0,40903593.0,1525132800,172474.0,17,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Swept Away,"Comedy, Romance",0,1.0,3.0,3.6,5.0,18.0,8.0,8.0,598645.0,1525132800,15788.0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ouija: Origin of Evil,"Drama, Horror, Mystery, Thriller",0,3.5,3.0,6.1,82.0,65.0,2.0,7.0,35144505.0,1524960000,54308.0,13,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
Captain Fantastic,"Comedy, Drama",0,3.9,3.0,7.9,82.0,72.0,15.0,50.0,5879835.0,1524009600,189498.0,17,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monty Python and the Holy Grail,"Adventure, Comedy, Fantasy",0,4.5,3.0,8.2,97.0,91.0,3.0,3.0,1827696.0,1523664000,502049.0,10,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Florida Project,Drama,0,4.4,3.0,7.6,96.0,92.0,66.0,129.0,5904366.0,1523059200,96017.0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Killing of a Sacred Deer,"Drama, Horror, Mystery, Thriller",0,3.7,5.0,7.0,80.0,73.0,5.0,53.0,2291901.0,1522972800,125746.0,17,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
An Inconvenient Sequel: Truth to Power,Documentary,0,4.7,3.0,6.4,79.0,68.0,6.0,15.0,3496795.0,1522627200,7652.0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Silverado,"Action, Crime, Drama, Romance, Western",0,3.5,5.0,7.2,76.0,64.0,1.0,4.0,32192570.0,1522627200,38489.0,13,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Undercover Kitty,"Comedy, Family, Fantasy",0,5.6,3.0,6.8,64.0,50.0,8.0,2.0,266959.0,1522627200,4773.0,10,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Inferno,"Action, Adventure, Crime, Drama, Mystery, Thriller",0,2.1,5.0,6.2,23.0,42.0,4.0,1.0,34343574.0,1522627200,160487.0,13,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Better Watch Out,"Comedy, Horror, Thriller",0,3.7,3.0,6.5,89.0,67.0,8.0,2.0,20369.0,1522627200,32265.0,17,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Love and Death,"Comedy, War",0,4.4,3.0,7.7,100.0,89.0,3.0,2.0,20123742.0,1522540800,36031.0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
For Keeps,"Comedy, Drama, Romance",0,4.8,3.0,6.0,17.0,41.0,1.0,1.0,17514553.0,1522540800,4381.0,13,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Kicks,"Adventure, Drama",0,6.6,3.0,6.4,87.0,69.0,4.0,3.0,150191.0,1522540800,4138.0,17,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hush,"Drama, Thriller",0,1.4,3.0,5.5,12.0,18.0,1.0,2.0,13583690.0,1522540800,10553.0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gods Own Country,"Drama, Romance",0,4.3,3.0,7.7,98.0,85.0,31.0,39.0,335609.0,1522454400,25480.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Bodyguard,"Action, Drama, Music, Romance, Thriller",0,2.2,5.0,6.3,33.0,39.0,10.0,21.0,122006740.0,1522022400,120087.0,17,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
Wonder Woman,"Action, Adventure, Fantasy, Sci-Fi, War",0,4.1,5.0,7.4,93.0,76.0,24.0,71.0,412815408.0,1521504000,570776.0,13,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
The Beatles: Eight Days a Week,"Documentary, Music",0,4.1,3.0,7.8,96.0,72.0,5.0,14.0,2930414.0,1521244800,11434.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A Man in the Dark,"Crime, Horror, Thriller",0,3.8,3.0,7.1,88.0,71.0,7.0,21.0,89217875.0,1521244800,223676.0,17,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Annihilation,"Adventure, Drama, Horror, Mystery, Sci-Fi, Thriller",0,3.9,3.0,6.8,88.0,79.0,16.0,56.0,32732301.0,1520812800,282373.0,17,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
Nocturnal Animals,"Drama, Thriller",0,3.6,3.0,7.5,74.0,67.0,20.0,148.0,10663357.0,1520640000,239999.0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Partition 1947,"Biography, Drama, History, Romance",0,4.7,3.0,6.7,72.0,53.0,1.0,0.0,1105717.0,1520467200,6987.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
The Shack,"Drama, Fantasy",0,1.9,5.0,6.3,21.0,32.0,3.0,2.0,57386418.0,1520294400,30671.0,13,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A Perfect Murder,"Crime, Drama, Thriller",0,2.9,3.0,6.5,57.0,50.0,2.0,3.0,67638368.0,1520294400,79406.0,17,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Columbus,Drama,0,4.3,3.0,7.2,97.0,89.0,9.0,29.0,1017107.0,1519948800,14556.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loving Vincent,"Animation, Biography, Crime, Drama, Family, Mystery",0,3.8,3.0,7.8,85.0,62.0,22.0,51.0,6735118.0,1519862400,50988.0,13,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Wind River,"Crime, Drama, Mystery, Thriller",0,4.0,3.0,7.7,88.0,73.0,14.0,26.0,33800859.0,1519862400,207223.0,17,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Guru,"Biography, Drama",0,3.8,5.0,7.7,83.0,70.0,17.0,33.0,2096000.0,1519862400,22044.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beach Rats,Drama,0,3.8,3.0,6.4,85.0,78.0,12.0,16.0,473771.0,1519689600,12652.0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Bridges of Madison County,"Drama, Romance",0,3.9,5.0,7.6,90.0,69.0,7.0,18.0,71516617.0,1519603200,73431.0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Zookeepers Wife,"Biography, Drama, History, War",0,3.2,5.0,7.0,64.0,57.0,2.0,3.0,17571660.0,1519430400,38813.0,13,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Lincoln,"Biography, Drama, History, War",0,4.1,5.0,7.3,89.0,86.0,109.0,251.0,182207973.0,1519257600,245650.0,13,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Churchill,"Biography, Drama, History, War",0,2.6,3.0,6.1,49.0,44.0,1.0,0.0,1281258.0,1519257600,12131.0,10,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
The Breadwinner,"Animation, Drama, Family, War",0,4.2,3.0,7.7,95.0,78.0,20.0,54.0,313215.0,1519171200,20926.0,13,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
John Wick: Chapter Two,"Action, Crime, Thriller",0,4.0,5.0,7.5,89.0,75.0,4.0,10.0,92029184.0,1518739200,367362.0,17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Villainess,"Action, Crime, Drama, Thriller",0,3.6,5.0,6.7,85.0,64.0,6.0,13.0,27741.0,1518652800,12346.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Trophy,Documentary,0,8.8,3.0,7.3,96.0,80.0,1.0,6.0,21439.0,1518566400,617.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breathe,"Biography, Drama, Romance",0,3.2,3.0,7.2,68.0,51.0,1.0,4.0,490131.0,1518307200,19275.0,13,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Emoji Movie,"Animation, Adventure, Comedy, Family, Fantasy",0,0.9,3.0,3.3,7.0,12.0,7.0,3.0,86089513.0,1518134400,56232.0,10,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Ingrid Goes West,"Comedy, Drama",0,3.7,3.0,6.6,85.0,71.0,2.0,9.0,3024308.0,1518048000,36264.0,17,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lost City of Z,"Adventure, Biography, Drama",0,3.9,5.0,6.6,87.0,78.0,6.0,31.0,8580410.0,1517443200,80547.0,13,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Any Given Sunday,"Drama, Sport",0,2.9,5.0,6.9,52.0,52.0,3.0,9.0,75530832.0,1517443200,112334.0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Baywatch,"Action, Comedy, Crime",0,1.8,3.0,5.5,17.0,37.0,5.0,11.0,58060186.0,1517443200,162201.0,17,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transformers: The Last Knight,"Action, Adventure, Sci-Fi",0,1.6,5.0,5.2,15.0,27.0,4.0,19.0,130168683.0,1517443200,136008.0,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Avengers,"Action, Adventure, Sci-Fi, Thriller",0,0.9,3.0,3.8,5.0,12.0,4.0,17.0,23384939.0,1517443200,41038.0,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
The Girl on the Train,"Crime, Drama, Mystery, Thriller",0,2.6,3.0,6.5,44.0,48.0,4.0,12.0,75395035.0,1515974400,169614.0,17,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Ghostbusters,"Action, Comedy, Fantasy, Sci-Fi",0,3.3,3.0,6.4,74.0,60.0,5.0,24.0,128350574.0,1515801600,204928.0,13,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Home Again,"Comedy, Drama, Romance",0,2.2,3.0,5.8,32.0,41.0,1.0,0.0,27020284.0,1515801600,28629.0,13,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Spark,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",0,5.8,3.0,4.5,14.0,22.0,1.0,1.0,196458.0,1515628800,1056.0,10,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Captain Underpants: The First Epic Movie,"Animation, Action, Comedy, Family",0,3.6,3.0,6.2,87.0,69.0,3.0,15.0,73921000.0,1515628800,25081.0,10,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Good Time,"Crime, Drama, Thriller",0,4.1,3.0,7.4,92.0,80.0,6.0,49.0,2026499.0,1515628800,91250.0,17,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A Bad Moms Christmas,Comedy,0,2.2,3.0,5.6,32.0,42.0,1.0,1.0,72110659.0,1515196800,45151.0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Ghost Story,"Drama, Fantasy, Romance",0,4.1,3.0,6.9,91.0,84.0,12.0,20.0,1596371.0,1514937600,61150.0,17,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Suffragette,"Drama, History",0,3.5,3.0,6.9,73.0,66.0,17.0,16.0,4702420.0,1514937600,38489.0,13,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Shallows,"Action, Drama, Horror, Thriller",0,3.3,3.0,6.3,78.0,59.0,1.0,15.0,55124043.0,1514851200,120760.0,13,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Die Hard 4.0,"Action, Thriller",0,3.7,5.0,7.1,82.0,69.0,3.0,16.0,134529403.0,1514764800,390192.0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Planetarium,"Drama, Fantasy, Mystery, Romance, Thriller",0,5.3,3.0,4.6,16.0,44.0,1.0,2.0,3262.0,1514764800,3015.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
Lost Highway,"Mystery, Thriller",0,3.1,5.0,7.6,61.0,52.0,4.0,6.0,3675201.0,1514592000,131838.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
The Brand New Testament,"Comedy, Fantasy",0,3.7,3.0,7.1,82.0,70.0,14.0,25.0,127910.0,1514505600,30082.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kong: Skull Island,"Action, Adventure, Fantasy, Sci-Fi",0,3.4,3.0,6.6,75.0,62.0,1.0,21.0,168052812.0,1514505600,271946.0,13,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
The Lego Batman Movie,"Animation, Action, Comedy, Family",0,4.0,3.0,7.3,90.0,75.0,13.0,67.0,175750384.0,1514505600,131509.0,10,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan Lucky,"Comedy, Crime, Drama",0,4.0,3.0,7.0,92.0,78.0,2.0,11.0,27780977.0,1514332800,131724.0,13,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clash,"Drama, Thriller, War",0,6.6,3.0,7.5,93.0,78.0,11.0,8.0,18215.0,1514332800,5038.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
CHIPS,"Action, Comedy, Crime",0,1.8,3.0,6.0,18.0,28.0,2.0,1.0,18600152.0,1514246400,42597.0,17,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Nut Job 2: Nutty by Nature,"Animation, Adventure, Comedy, Family, Fantasy",0,3.8,3.0,5.5,14.0,36.0,1.0,3.0,28370522.0,1513641600,5931.0,10,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Live Flesh,Drama,0,3.7,3.0,7.4,81.0,69.0,11.0,14.0,1785901.0,1513296000,28561.0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Flower of My Secret,Drama,0,3.8,3.0,7.0,83.0,75.0,5.0,13.0,1104622.0,1513296000,10443.0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bad Education,"Crime, Drama",0,4.1,3.0,7.4,88.0,81.0,16.0,42.0,5284284.0,1513296000,55919.0,17,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
